Titulo,URL,Cuerpo,Fecha,Autor,Pais,Medio
Migración y la orden presidencial,https://www.elheraldo.co/cartas-de-los-lectores/2026/09/02/migracion-y-la-orden-presidencial/,"Lo anterior me trae a la memoria dentro de tantas tesis el cómo fue la migración hacia América, dentro de ellas la migración qué vino desde el continente Asiático hasta el Americano, por el estrecho de Bering, este es un estrecho de 82 kilómetros, siendo este un brazo del mar que une a Rusia con Alaska, incluso se predica que en época de invierno se forma una capa no muy sólida que impidió qué pasarán animales grandes a América, además de los rasgos orientales qué tienen nuestros aborígenes, es importante entender que el concepto básico es Migrante, y los derivados desde el sitio de donde se mire.
Inmigrante: La misma persona vista desde el país de llegada (el que entra) Emigrantes: La misma persona vista desde su país de origen (el que sale) Desde el punto de vista de los derechos humanos, en el artículo 13 de la Declaración de los derechos humanos se enseña y garantiza “la libertad de circulación, de movimiento y de residencia dentro y fuera de un país ”
Lo anterior no indica que no se pueda regular esta estadía tal como Colombia lo hizo con los nacionales venezolanos, mediante el Decreto 216 del año 2021 (Estatuto temporal de protección para migrante venezolanos) mediante el cual se le otorgan derechos por 10 años, en salud, trabajo y estudio. Según datos ya están regularizados 2.300.000 y todavía faltando 500 mil aproximadamente. Es bueno aclarar que ser migrante no esta tipificado como delito, ser migrante no es delito, es una irregularidad administrativa. Cosa diferente podría ser si este migrante ante la resolución de deportación y por estar Venezuela tan cerca (diferente a los Estados Unidos) este al volver es posible que este concurriendo ante el delito de “Fraude Procesal ” y aquí sí podría estar en una conducta penal, de todas maneras, se tendría que mirar el caso concreto.
Resumen: El ser migrante no es delito, Tiene amparo en el artículo 13 en la declaración de los derechos humanos, los países tienen la potestad de regular su estadía entre ellos juzgar a los que cometan delitos dentro de su territorio, así como deportar a los que estén de manera irregular.",2026-09-02T05:00:00Z,Redacción ELHERALDO.CO,Colombia,El Heraldo
Orden sin estigma,https://www.elheraldo.co/columnas-de-opinion/2026/08/27/orden-sin-estigma/,"La diáspora venezolana merece revisión aparte. Por persecución política o razones económicas y sociales, Colombia se convirtió en uno de sus principales destinos, entre otros factores, por la extensa frontera terrestre, los históricos vínculos familiares y la facilidad de desplazamiento entre ambos países.
De casi 8 millones de venezolanos que han salido de su país, Migración Colombia registró, a agosto de 2025, 2.831.561 en Colombia. El 83% en condición migratoria regular y el 17% irregular. Aunque existe un margen de subregistro, para junio de 2026 el país había expedido 2.320.356 Permisos por Protección Temporal (PPT). Por tanto, la imagen de que los venezolanos en Colombia son ilegales es incorrecta. La gran mayoría de la población registrada ha accedido a mecanismos de regularización.
El asunto más complejo se circunscribe a quienes continúan incumplimiento las reglas. Un sector puede aprovechar esa condición para cometer delitos y contribuir a la inseguridad. Otros simplemente no accedieron a la formalización en los plazos establecidos, ingresaron después irregularmente o perdieron su permanencia legal y hoy encuentran cerrado el acceso general al PPT para nuevos migrantes adultos.
Conviene no confundir las cosas. Estar irregularmente en Colombia no equivale a ser delincuente. Una cosa es infringir las normas migratorias y otra, cometer un delito. La primera genera consecuencias administrativas. La segunda exige actuación de la justicia.
Esta distinción deja entender por qué no se puede simplemente deportar de manera indiscriminada a quienes se encuentran en situación irregular. Cada persona tiene derecho al debido proceso y pueden existir circunstancias que impidan su devolución. La Corte Constitucional ha reiterado el principio de no devolución cuando el retorno pueda poner en riesgo derechos fundamentales y ha exigido identificar necesidades de protección internacional.
Poner la casa en orden y combatir la delincuencia es un propósito legítimo. Hacerlo respetando la dignidad humana también debe serlo. A los delincuentes, todo el peso de la ley. A quienes simplemente enfrentan una situación migratoria irregular, la aplicación de las normas, el debido proceso y un trato digno.
Y frente a una realidad que no desaparecerá por decreto, Colombia debería considerar un nuevo camino de regularización, general o focalizado, para quienes quedaron por fuera de los mecanismos existentes. Ordenar la migración también significa ofrecer alternativas legales para salir de la irregularidad.
Someter a soldados y policías a las presiones de los candidatos en medio de un conflicto es una irresponsabilidad. Como lo es abrir la puerta para que el presidente de turno intente cooptar el voto de los uniformados usando su poder de Comandante Supremo.
El Código Penal contempla delitos como daño en bien ajeno, perturbación del transporte, obstrucción de vías, violencia contra servidor público y asonada. Y cuando concurran rigurosamente sus elementos, también terrorismo.
Para Venezuela y los venezolanos, el acuerdo ni siquiera puede celebrarse como un triunfo de reactivación económica mientras los recursos derivados de esa reactivación petrolera sigan bajo el control de un régimen que ha empobrecido al país y violado sistemáticamente los derechos humanos de sus ciudadanos.",2026-08-27T05:00:00Z,Rodney Castro Gullo,Colombia,El Heraldo
Organización Venezolanos en Barranquilla pide al Gobierno fortalecer la regularización migratoria ante nuevas medidas de control,https://www.elheraldo.co/colombia/2026/08/25/organizacion-venezolanos-en-barranquilla-pide-al-gobierno-fortalecer-la-regularizacion-migratoria-ante-nuevas-medidas-de-control/,"La organización Venezolanos en Barranquilla hizo un llamado al Gobierno nacional para que las nuevas acciones de control migratorio anunciadas por el presidente de la República, Abelardo De la Espriella, y la estrategia piloto que se implementará en Barranquilla, estén acompañadas de mayores oportunidades de regularización y garantías para la población migrante.
En un comunicado divulgado este 24 de agosto, la organización reconoció la facultad del Estado para hacer cumplir las leyes, proteger las fronteras y garantizar la seguridad. También respaldó que quienes cometan delitos respondan ante la justicia, sin importar su nacionalidad, siempre bajo el debido proceso y el derecho a la defensa.
Según la organización, Colombia ha desarrollado durante cerca de una década mecanismos de protección y regularización que permitieron a millones de venezolanos estudiar, trabajar, emprender y acceder a servicios.
El comunicado señala que actualmente más de 2,8 millones de venezolanos residen en Colombia y que más de 2,3 millones de Permisos por Protección Temporal (PPT) han sido otorgados desde la entrada en vigor del Estatuto Temporal de Protección.
La organización puso como ejemplo a padres y cuidadores cuyos hijos están escolarizados y documentados en Colombia, pero que no necesariamente cuentan con una ruta vigente para regularizar su situación.
Otro de los puntos centrales del pronunciamiento está relacionado con eventuales deportaciones o expulsiones. La organización pidió que estos procedimientos tengan en cuenta las condiciones particulares de cada persona y las circunstancias que podrían enfrentar al regresar a Venezuela.
En particular, llamó la atención sobre solicitantes del reconocimiento de la condición de refugiado que permanecen a la espera de una decisión y sobre personas que manifiestan tener temores fundados frente a un eventual retorno.
La organización también defendió el impacto económico y social de la población migrante. Señaló que los venezolanos residentes en el país trabajan, emprenden, generan empleo, pagan impuestos, estudian y participan en el desarrollo de las comunidades donde viven.
En ese sentido, solicitó al Gobierno explicar con claridad a quiénes estarán dirigidos los procedimientos, cuáles serán sus etapas y garantías, cómo se protegerá la unidad familiar y qué ocurrirá con las personas que tengan trámites o solicitudes pendientes .
Ante la posibilidad de que Barranquilla sea utilizada como ciudad piloto para la estrategia migratoria, Venezolanos en Barranquilla propuso que la capital del Atlántico también se convierta en un escenario de buenas prácticas.
La organización planteó crear una mesa de trabajo con el Gobierno nacional, la Cancillería y Migración Colombia , con el acompañamiento de la Defensoría del Pueblo y la participación de organizaciones de la sociedad civil y defensores de los derechos de refugiados y migrantes.",2026-08-25T15:29:15Z,Redacción ELHERALDO.CO,Colombia,El Heraldo
Chile permite la salida de migrantes venezolanos con pasaportes vencidos tras doble sismo,https://www.elheraldo.co/mundo/2026/06/30/chile-permite-la-salida-de-migrantes-venezolanos-con-pasaportes-vencidos-tras-doble-sismo/,"Chile facilitará la salida “por razones humanitarias” de los ciudadanos venezolanos que tengan sus pasaportes vencidos y quieran volver a Venezuela para ayudar en las labores de reconstrucción tras el doble terremoto o rencontrarse con sus seres queridos, informó este martes el Gobierno chileno.
“Muchos ciudadanos venezolanos que viven en nuestro país se encuentran en una situación de profundo estrés emocional ante la pérdida de familiares o bien tienen la intención y el deseo de colaborar con la reconstrucción de su país”, explicó el director del Servicio Nacional de Migraciones, Frank Sauerbaum.
Los ciudadanos venezolanos que quieran acogerse a este plan tendrán que ir al la sede de la Policía de Investigaciones de Chile (PDI) ubicada en el Aeropuerto Internacional Arturo Merino Benítez, el principal de Santiago, y rellenar un “simple” documento antes de subirse al avión que los lleve de vuelta a Venezuela, agregó Sauerbaum.
Miles de personas trabajan contrarreloj para hallar a más sobrevivientes a casi una semana de los terremotos de magnitud 7,2 y 7,5 que sacudieron el Caribe venezolano y han dejado hasta la fecha al menos 1.943 personas y 10.571 heridos, según el último conteo del Gobierno venezolano.
La relaciones diplomáticas entre Chile y Venezuela están suspendidas desde el 24 de julio de 2024, cuando el entonces presidente de Venezuela, Nicolás Maduro, ordenó el retiro de todo el personal diplomático en el país austral, en respuesta a las acusaciones de fraude electoral emitidas por exmandatario Gabriel Boric y gran parte de la comunidad internacional.
El cierre del consulado y la embajada venezolanas en Chile hace dos años dejó a gran parte de los 700.000 venezolanos radicados en el país en un limbo burocrático, sin posibilidad de hacer ningún trámite consular presencial.
Aunque el Gobierno venezolano habilitó recientemente una plataforma digital para hacer trámites online y permitió a terceros retirar pasaportes en Caracas, la realidad es que muchos venezolanos se sienten atrapados en Chile.
El Gobierno de José Antonio Kast ha mostrado su voluntad de restablecer relaciones consulares con Caracas y el mandatario ultraderechista, en un gesto inédito en años, conversó el jueves por teléfono con la presidenta encargada de Venezuela, Delcy Rodríguez, para mostrarle su solidaridad e informarle del envío de ayuda humanitaria y de rescate.
Paralelamente a los salvoconductos anunciados este martes, el Ejecutivo chileno está elaborando un plan para facilitar el regreso voluntario a sus países de origen a los más de 330.000 migrantes irregulares que viven en Chile -en su mayoría venezolanos-, que fue una de las principales promesas de campaña del líder ultraconservador.",2026-06-30T23:47:07Z,Agencia EFE,Colombia,El Heraldo
Migración Colombia e ICBF afirman que se ha regularizado al 90% de niños migrantes venezolanos en el país,https://www.elheraldo.co/colombia/2025/10/30/migracion-colombia-e-icbf-afirman-que-se-ha-regularizado-al-90-de-ninos-migrantes-venezolanos-en-el-pais/,"A través del primer boletín oficial sobre los menores de edad migrantes venezolanos en el país, Migración Colombia y el ICBF reportaron que se ha regularizado al 90% de las niñas, niños y adolescentes migrantes venezolanos en Colombia.
“De los casi 2,8 millones de personas población migrante venezolana en Colombia (a corte mayo) el 28,41% son niños, niñas y adolescentes”, explicó el Gobierno, indica do además que “la población migrante venezolana menor de edad tendrá los preregistros habilitados hasta el año 2031, en el marco de la garantía y prevalencia de esta población”.
A mayo de 2025, se estima que en Colombia hay cerca de 800.000 menores de edad migrantes venezolanos, de los cuales casi el 90% ya se encuentran regularizados por Migración Colombia en el marco del Estatuto Temporal de Protección para Venezolanos, ETPV.
“En septiembre de 2025, Migración Colombia puso en marcha el PEP-Tutor, un nuevo mecanismo que permite a los representantes o custodios de niñas, niños y adolescentes venezolanos regularizar su permanencia en el país. Esta medida, amparada en el Decreto 1209 de 2024, busca garantizar que los adultos responsables puedan acceder a servicios, empleo y educación formal, fortaleciendo así la protección integral de los menores a su cargo. Según el Observatorio de Migraciones de Migración Colombia, el programa tiene un potencial de cobertura de más de 270.000 niñas, niños y adolescentes venezolanos con Permiso por Protección Temporal (PPT), cuyos cuidadores ahora pueden tramitar su regularización ante el Estado colombiano”, se lee.
No obstante, el boletín advierte un incremento en los casos de violencias reportadas contra la niñez migrante, que aumentaron en más de un 58,78% entre 2019 y 2024, según datos oficiales del Sistema Nacional de Bienestar Familiar . Esta situación se relaciona con los riesgos de movilidad irregular, las rutas no seguras y la falta de acompañamiento familiar durante los desplazamientos. Las autoridades insisten en que estas cifras deben verse como un llamado urgente a fortalecer los mecanismos de protección y prevención en las zonas de frontera.
Y el apartado de Protección integral a la niñez migrante concluye que, solo en 2024, el ICBF atendió a más de 61.000 Niñas, Niños y Adolescentes (NNA) migrantes en servicios de prevención y protección, la mayoría en programas de primera infancia.
“En los más recientes dos años, oficiales de Migración Colombia identificaron cerca de 400 casos de falsificación de documentos para la salida de Niños, Niñas y Adolescentes y, gracias a la articulación con agencias homólogas internacionales, se prohibió el ingreso al país de 133 ciudadanos extranjeros (la mayoría estadounidenses), identificados como posibles agresores sexuales de menores de edad. Este año son cerca de 40 inadmitidos o expulsados por la autoridad migratoria”, finaliza el documento.",2025-10-30T17:53:48Z,Redacción País,Colombia,El Heraldo
Migrantes venezolanos radicados en San Onofre logran regular su estatus,https://www.elheraldo.co/colombia/2026/08/17/migrantes-venezolanos-radicados-en-san-onofre-logran-regular-su-estatus/,"La jornada, llena de esperanzas, se desarrolló con apoyo de la alcaldía de San Onofre  en la sede de la Casa de la Cultura.
Setenta y dos niños, niñas y jóvenes venezolanos que residen en el municipio de San Onofre, al norte del departamento de Sucre, avanzan en su proceso de formalización de migrantes.
Migración Colombia y la Defensoría del Pueblo con la coordinación de la alcaldía municipal hicieron posible la realización de una jornada de atención institucional para tal fin.
Durante este evento las familias participantes presentaron los certificados de estudio de los menores para darle paso al inicio del trámite del Registro Único de Migrantes Venezolanos (RUMV) y la inscripción para la obtención del Permiso por Protección Temporal (PPT).
La formalización de estos documentos busca asegurar el acceso de la población estudiantil migrante al sistema educativo, a la red de salud pública y a la oferta de programas sociales del Estado.
“En San Onofre queremos que ningún niño se quede sin estudiar por su nacionalidad. Seguimos trabajando para garantizar el goce efectivo de todos sus derechos”, dijo la administración que lidera Marta Cantillo Martínez.
EL HERALDO S.A. Prohibida la reproducción y utilización, total o parcial, de los contenidos en cualquier forma o modalidad, sin previa, expresa y escrita autorización, incluyendo su mera reproducción y/o puesta a disposición con fines comerciales, directa o indirectamente lucrativos. 2000 - 2024 ©
PBX: (57) (5) 3715000 Línea de atención: (57) (5) 3855050 / 018000 512200 Calle 53B N° 46 - 25, Barranquilla - Atlántico Bogotá: 3204982967",2026-08-17T00:24:02Z,Maria Victoria Bustamante Fernandez,Colombia,El Heraldo
"Integración de migrantes, tema central en diálogo que liderará Venezolanos en Barranquilla durante Foro Mundial sobre Migración",https://www.elheraldo.co/colombia/2025/08/31/integracion-de-migrantes-tema-central-en-dialogo-que-liderara-venezolanos-en-barranquilla-durante-foro-mundial-sobre-migracion/,"En el marco del Foro Mundial sobre Migración y Desarrollo que se adelantará en la ciudad de Riohacha la próxima semana, la organización Venezolanos en Barranquilla liderará el evento paralelo ‘Construyendo rutas de integración: desafíos y oportunidades para la población venezolana en América Latina’.
El evento reunirá a actores clave del Gobierno colombiano , organismos internacionales, banca multilateral y sociedad civil, con el propósito de reflexionar y avanzar en soluciones efectivas, sostenibles y coordinadas para la inclusión de la población migrante y refugiada venezolana en Colombia y la región.
El evento contará con la participación de Migración Colombia , la Organización Internacional para las Migraciones (OIM), el Banco Interamericano de Desarrollo (BID), Fundación Comparte y Veneactiva, quienes dialogarán sobre las rutas de integración , la movilidad laboral, la cooperación internacional y el rol de la sociedad civil en este proceso.
“Esta es una oportunidad estratégica para avanzar en soluciones concretas que respondan a las necesidades de las personas en movilidad humana y de las comunidades de acogida. Nuestra organización ha trabajado desde lo local, nacional e internacional promoviendo la apertura de espacios de diálogo y construcción colectiva, y este foro nos permite fortalecer la articulación y coordinación entre todos los actores involucrados”, indicó Juan Carlos Viloria Doria, vicepresidente de Venezolanos en Barranquilla.
De acuerdo a datos de la Plataforma de Coordinación Interagencial para Refugiados y Migrantes (R4V), en de América Latina y el Caribe, que ya concentra más del 85 % de los casi 7,9 millones de personas refugiadas y migrantes originarias de Venezuela, la presión sobre los sistemas de acogida es inmensa.
Colombia, como principal país receptor, acoge a más de 2,8 millones de venezolanos, mientras convive con una crisis humanitaria interna de más de 7 millones de desplazados, según cifras de ACNUR . “Estas cifras evidencian con claridad la urgencia, vigencia y pertinencia de este evento paralelo como plataforma para promover soluciones integrales, sostenibles y coordinadas”.",2025-08-31T15:19:23Z,Redacción ELHERALDO.CO,Colombia,El Heraldo
Venezolanos en Barranquilla participarán en Foro de Migración para impulsar mejores respuestas a las necesidades de esta población,https://www.elheraldo.co/atlantico/2025/08/31/venezolanos-en-barranquilla-participaran-en-foro-de-migracion-para-impulsar-mejores-respuestas-a-las-necesidades-de-esta-poblacion/,"El próximo miércoles 3 de septiembre, Venezolanos en Barranquilla participarán como panelistas en la decimoquinta edición del Foro Mundial sobre Migración y Desarrollo . La asociación liderará un evento paralelo llamado ‘Construyendo rutas de integración: desafíos y oportunidades para la población venezolana en América Latina’ en la Biblioteca Virtual Héctor Salah Zuleta, en Riohacha (La Guajira), de 12:00 m. a 1:15 p. m.
En el panel abordarán experiencias de integración socioeconómica , movilidad laboral, combate a la trata de personas y tráfico de migrantes. Asimismo, intercambiarán aprendizajes de distintos países y mostrarán el apoyo que el BID ha dado, mediante fondos, a la implementación de acciones de integración en beneficio de la comunidad migrante y comunidades de acogida.
“Este espacio es importante porque demuestra la capacidad que tenemos como sociedad civil de ser copartícipes y corresponsables en la implementación de respuestas a problemas que ya son muy bien conocidos por toda la comunidad”, explicó a EL HERALDO el vicepresidente de la organización, Juan Carlos Viloria .
El encargado informó que en este panel participarán expertos de talla internacional, tales María Narcisa Chavera, subdirectora de Extranjería de Migración Colombia; Fernando Medina, jefe de misión de la Organización Internacional para las Migraciones (OIM) en Colombia, y Francisco Zegarra, especialista de servicios de la unidad de migración del Banco Interamericano de Desarrollo (BID).
Además, participarán representantes de organizaciones de sociedad civil de Colombia y de Perú: Lala Lovera, directora de la Fundación Comparte, y Paulo Méndez, desde Lima, coordinador de integración socioeconómica de la organización VeneActiva.
“Estos foros permiten visibilizar el potencial que tiene la sociedad civil de ser aliada del Gobierno, del sector privado y de las organizaciones de cooperación. Así, las acciones de estas entidades —que finalmente son quienes toman las decisiones— pueden ser mucho más efectivas frente a las necesidades, que día a día aumentan, mientras que los recursos disponibles son cada vez más escasos”, aseveró Viloria.
Asimismo, el vicepresidente puso de presente que son cruciales estas acciones coordinadas , ya que permiten reflejar el potencial de la organización y buscar alianzas con entidades locales e internacionales.
Cabe recordar que Venezolanos en Barranquilla es una organización de sociedad civil integrada por profesionales de diversas áreas. Esta entidad hace parte de más de 30 espacios de articulación y coordinación a nivel internacional y nacional y tiene alianzas con 19 organizaciones de nueve países.
Colombia, como principal país receptor, acoge a más de 2,8 millones de venezolanos , mientras convive con una crisis humanitaria interna de más de 7 millones de desplazados (Acnur, 2025). El departamento del Atlántico alberga al menos 220.000 personas de esta población, y Barranquilla, como capital, concentra a 163.000 ciudadanos de Venezuela.
“Barranquilla ha sido una ciudad históricamente abierta a las migraciones de distintos continentes y, en los últimos años, ha recibido un fuerte impacto en los sistemas de salud, educación y empleo debido a la llegada de población proveniente de Venezuela. La respuesta de Barranquilla ha sido generosa y solidaria; hemos visto la disposición de las autoridades locales y de las diferentes secretarías para proveer servicios y garantizar derechos a esta población. Sin embargo, las capacidades institucionales son limitadas”, señaló Viloria.
Por otro lado, a nivel global, la crisis del desplazamiento forzado alcanza niveles sin precedentes: hacia fines de 2024, más de 123 millones de personas estaban desplazadas debido a conflicto, violencia y persecución, lo que equivale a una de cada 67 personas en el mundo (Acnur, 2024).
En la región de América Latina y el Caribe, que ya concentra más del 85 % de los casi 7,9 millones de personas refugiadas y migrantes originarias de Venezuela (Plataforma R4V, 2025), la presión sobre los sistemas de acogida es inmensa.",2025-08-31T18:56:13Z,Redacción Locales,Colombia,El Heraldo
Migración reporta normalidad en el flujo migratorio de la frontera entre Colombia y Venezuela,https://www.elheraldo.co/colombia/2026/01/07/migracion-reporta-normalidad-en-el-flujo-migratorio-de-la-frontera-entre-colombia-y-venezuela/,"Migración Colombia reportó este miércoles completa normalidad en los flujos migratorios de la frontera con Venezuela. Esto en medio de la situación originada en el vecino país por los bombardeos a zonas militares y civiles y la captura del presidente del régimen de Caracas, Nicolás Maduro , en un operativo realizado en la madrugada del pasado sábado por parte de los Estados Unidos.
“Los flujos migratorios regulares de ciudadanos venezolanos en diciembre de 2025 y comienzos de enero de 2026 se mantuvieron dentro de los patrones normales de la temporada festiva”, i ndicó la entidad.
Informó en este sentido que del 1 al 6 de enero se registraron 45.126 entradas y 44.722 salidas, y en La Guajira concretamente hubo 1.212 entradas y 1.079 salidas. Entre tanto, en 2025 hubo 73.596 entradas y 73.388 salidas.
El pasado martes Migración indicó que entre el 5 de diciembre de 2025 y el 4 de enero de 2026 se registraron 83.308 ingresos y 77.976 salidas de ciudadanos venezolanos a nivel nacional, lo que representa un 6,8 % más de entradas que de salidas, comportamiento que fue calificado como normal y consistente con la dinámica observada a lo largo de 2025.
El reporte explica que el monitoreo distingue entre flujos migratorios regulares, que corresponden a movimientos realizados cumpliendo los requisitos legales por los puestos de control migratorio, y flujos migratorios pendulares, asociados a cruces frecuentes en zonas de frontera por motivos laborales, comerciales o familiares. Para ambos tipos de flujo se establecen rangos que permiten identificar escenarios de normalidad, contingencia o situación crítica, en articulación con los planes de coordinación interinstitucional liderados por el Gobierno nacional.
En cuanto a los primeros días de enero de 2026, el análisis muestra que entre el 1 y el 4 de este mes se registraron 6.117 entradas y 5.390 salidas, lo que equivale a 727 registros más de entrada que de salida, comportamiento que el documento señala como acorde con las dinámicas propias de la temporada festiva de fin de año.
Por puestos de control migratorio en frontera con Venezuela, el informe detalla que los mayores volúmenes de flujo regular se concentran en la Regional Oriente, particularmente en los pasos del Puente Francisco de Paula Santander, el Puente Internacional Simón Bolívar y el Puente de la Unidad, mientras que en la Regional La Guajira el principal punto de monitoreo es el puesto migratorio de Paraguachón, y en la Regional Orinoquía el Puente Internacional Páez y el puesto fluvial de Puerto Carreño.
Finalmente, el reporte de Migración Colombia señala que el análisis comparativo de las entradas registradas en enero de 2026 frente al histórico de enero de 2025 evidencia una tendencia similar e incluso inferior en algunos momentos, y que el comportamiento de los flujos pendulares entre el 1 y el 4 de enero no muestra incrementos súbitos o anormales que indiquen cambios en el patrón habitual de la dinámica migratoria en la frontera colombo-venezolana.",2026-01-07T19:26:49Z,Redacción País,Colombia,El Heraldo
Migrantes venezolanos inyectan unos 3.000 millones de dólares anuales a través del consumo en Colombia,https://www.elheraldo.co/internacional/2025/12/17/migrantes-venezolanos-inyectan-unos-3000-millones-de-dolares-anuales-a-traves-del-consumo-en-colombia/,"Un informe lanzado este miércoles por la Organización Internacional para las Migraciones (OIM) , previo al Día Internacional del Migrante , expone cómo los millones de migrantes venezolanos establecidos en Latinoamérica y el Caribe aportan significativamente a las comunidades de acogida, con un consumo acumulado de más de 10.600 millones de dólares anuales en ocho países analizados.
También su impacto en la economía real es amplio: inyectan unos 3.000 millones de dólares anuales a través del consumo, una cifra comparable a más de la mitad de los ingresos de grandes conglomerados nacionales.
Además, si se eliminaran las barreras para la inserción laboral formal y se aprovechara plenamente el capital humano -considerando que el 74 % está empleado pero con alta informalidad- , el aporte fiscal podría escalar hasta los 804,3 millones de dólares (un 2,90 % de los ingresos fiscales), con un incremento potencial de más del 50 %.
En Perú la contribución fiscal real se situó en 526,9 millones de dólares en 2024, equivalentes al 1,35 % de la recaudación total o al 0,23 % del PIB nacional. El consumo estimado de los migrantes en el país alcanza los 2.400 millones de dólares, un monto que equipara al 80 % del presupuesto anual del Ministerio del Interior.
Sin embargo, Perú presenta una de las mayores brechas de oportunidad debido a la “degradación de habilidades”, ya que menos del 10 % de los profesionales venezolanos ejercen su carrera. Si se avanzara en la convalidación de títulos y la formalización, el ingreso fiscal podría aumentar un 51,3 %, alcanzando un potencial de 797,7 millones de dólares.
La integración laboral en Chile destaca por su alta tasa de empleo (89 %) y formalidad en comparación con sus vecinos, lo que se traduce en una recaudación fiscal real de 409,7 millones de dólares, representando el 1,03 % de los ingresos fiscales totales.
El escenario potencial en Chile proyecta una recaudación de 510,1 millones de dólares si se optimiza la inclusión de estos trabajadores. La migración ha sido clave para contrarrestar el envejecimiento poblacional local, aportando una fuerza laboral joven (promedio de 36 años) y activa.
Panamá registra el impacto relativo más alto de la región. La contribución fiscal de los migrantes venezolanos es de 203,2 millones de dólares, lo que constituye un notable 4,18 % de los ingresos fiscales totales del país y un 0,33 % del PIB.
Si se redujeran los costos de regularización y se facilitara el acceso al empleo formal, el aporte fiscal potencial de Panamá podría dispararse a 283,2 millones de dólares, elevando su peso al 5,83 % de la recaudación nacional.
A pesar de las barreras de regularización, la población venezolana en Ecuador aportó 46,9 millones de dólares al fisco (0,25 % de la recaudación total). El consumo local se estima en 876,2 millones de dólares, con un gasto focalizado en vivienda y alimentación.
El estudio destaca que el aporte per cápita ha crecido considerablemente en los últimos años, pasando de 84 dólares a 243 dólares, demostrando una mayor capacidad contributiva a medida que la población se asienta. En un escenario de plena integración, el aporte fiscal potencial ascendería a 55,9 millones de dólares.
La migración venezolana en República Dominicana se caracteriza por un fuerte perfil emprendedor y de inversión. Su aporte fiscal real es de 39,9 millones de dólares. Destaca la inversión de capital venezolano, que ha movilizado cerca de 180 millones de dólares y generado más de 2.500 empleos directos a través de más de 50 empresas registradas.
En Costa Rica, la contribución fiscal actual es de 40,2 millones de dólares (0,32 % de los ingresos totales). El consumo de esta población inyecta unos 261,3 millones de dólares a la economía costarricense, con un alto porcentaje destinado a educación y salud, lo que denota una inversión en capital humano a largo plazo.
El aporte potencial se calcula en 47,5 millones de dólares. Un dato relevante es el alto nivel educativo de los migrantes en el país (más del 40 % cuenta con educación universitaria), lo que representa un capital humano subutilizado por las barreras legales de contratación.
Aunque las cifras absolutas son menores por el tamaño de la isla, el impacto relativo es el más alto en términos de PIB. La contribución fiscal real es de 27,2 millones de dólares, lo que equivale al 0,75 % del PIB de la isla. El consumo local asciende a 113,5 millones de dólares, vital para su economía basada en servicios y turismo.",2025-12-17T23:14:35Z,Agencia EFE,Colombia,El Heraldo
